1	レディース
2	メンズ
3	コスメ/美容
4	キッズ/ベビー/マタニティ
5	エンタメ/ホビー
6	楽器
7	チケット/金券
8	インテリア/住まい/日用品
9	スマホ/家電/カメラ
10	ハンドメイド
11	食品/飲料/酒
12	スポーツ/アウトドア
13	自動車/バイク
14	その他
