2	2	549	ダッフルコート
2	2	550	ピーコート
2	2	1282	チェスターコート
2	2	551	ステンカラーコート
2	2	552	トレンチコート
2	2	553	モッズコート
2	2	554	スタジャン
2	2	555	スカジャン
2	2	556	ブルゾン
2	2	557	ポンチョ
2	2	558	マウンテンパーカー
2	2	559	カバーオール
2	2	560	ダウンベスト
2	2	561	その他
2	3	563	デニム/ジーンズ
2	3	564	ワークパンツ/カーゴパンツ
2	3	565	スラックス
2	3	566	チノパン
2	3	567	ショートパンツ
2	3	568	ペインターパンツ
2	3	569	サルエルパンツ
2	3	570	サロペット/オーバーオール
2	3	571	その他
2	4	573	スニーカー
2	4	574	サンダル
2	4	575	ブーツ
2	4	576	ドレス/ビジネス
2	4	1283	スリッポン/モカシン
2	4	1284	ビーチサンダル
2	4	1285	下駄/草履
2	4	577	長靴/レインシューズ
2	4	578	デッキシューズ
2	4	579	その他
2	5	581	トートバッグ
2	5	582	ボストンバッグ
2	5	583	バッグパック/リュック
2	5	584	ウエストポーチ
2	5	585	ボディーバッグ
2	5	586	ドラムバッグ
2	5	587	ビジネスバッグ
2	5	588	トラベルバッグ/スーツケース
2	5	589	メッセンジャーバッグ
2	5	1286	ショルダーバッグ
2	5	590	エコバッグ
2	5	591	その他
2	6	593	スーツジャケット
2	6	594	スーツベスト
2	6	595	スラックス/スーツパンツ
2	6	596	セットアップ
2	6	597	その他
2	7	599	キャップ
2	7	600	ハット
2	7	601	ニット帽/ビーニー
2	7	602	ハンチング/ベレー帽
2	7	603	キャスケット
2	7	604	サンバイザー
2	7	605	その他
2	8	607	ブレスレット
2	8	608	バングル/リストバンド
2	8	609	リング(指輪)
2	8	1287	ネックレス
2	8	610	ピアス(片耳用)
2	8	611	ピアス(両耳用)
2	8	612	アンクレット
2	8	613	その他
2	9	615	折り財布
2	9	1288	長財布
2	9	616	マネークリップ
2	9	617	コインケース/小銭入れ
2	9	618	名刺入れ/定期入れ
2	9	619	キーケース
2	9	620	キーホルダー
2	9	621	ネクタイ
2	9	622	手袋
2	9	623	ハンカチ/ポケットチーフ
2	9	624	ベルト
2	9	625	マフラー
2	9	626	ストール
2	9	627	バンダナ/スカーフ
2	9	628	ネックウォーマー
2	9	629	サスペンダー
2	9	630	ウォレットチェーン
2	9	631	サングラス/メガネ
2	9	632	手帳
2	9	633	ネクタイピン
2	9	634	カフリンクス
2	9	635	イヤマフラー
2	9	636	傘
2	9	637	レインコート
2	9	638	ミラー
2	9	639	タバコグッズ
2	9	640	その他
2	10	642	腕時計(アナログ)
2	10	643	腕時計(デジタル)
2	10	644	ラバーベルト
2	10	645	レザーベルト
2	10	646	金属ベルト
2	10	647	その他
2	11	649	浴衣
2	11	650	浴衣帯
2	11	651	着物
2	11	652	帯
2	11	653	和装小物
2	11	654	水着
2	11	655	その他
2	12	657	ソックス
2	12	658	レギンス/スパッツ
2	12	659	レッグウォーマー
2	12	660	その他
2	13	662	トランクス
2	13	663	ボクサーパンツ
2	13	664	その他
2	14	666	その他
3	1	425	化粧下地
3	1	426	ファンデーション
3	1	427	コントロールカラー
3	1	428	コンシーラー
3	1	429	フェイスパウダー
3	1	430	BBクリーム
3	1	432	アイブロウペンシル
3	1	433	パウダーアイブロウ
3	1	434	眉マスカラ
3	1	435	アイライナー
3	1	436	口紅
3	1	437	リップグロス
3	1	438	リップライナー
3	1	439	アイシャドウ
3	1	440	チーク
3	1	441	フェイスカラー
3	1	442	マスカラ
3	1	443	マスカラ下地/トップコート
3	1	444	つけまつげ
3	1	113	その他
3	2	446	クレンジング/メイク落とし
3	2	447	洗顔料
3	2	448	化粧水/ローション
3	2	449	ブースター/導入液
3	2	450	美容液
3	2	451	乳液/ミルク
3	2	452	フェイスクリーム
3	2	453	フェイスオイル/バーム
3	2	454	オールインワン化粧品
3	2	455	パック/フェイスマスク
3	2	456	ゴマージュ/ピーリング
3	2	457	アイケア/アイクリーム
3	2	458	まつ毛美容液
3	2	459	リップケア/リップクリーム
3	2	460	洗顔ネット/泡立て小物
3	2	461	フェイスローラー/小物
3	2	462	その他
3	3	464	コフレ/メイクアップセット
3	3	465	サンプル/トライアルキット
3	3	466	その他
3	4	468	マニキュア
3	4	469	カラージェル
3	4	470	ネイルトップコート/ベースコート
3	4	471	除光液
3	4	114	つけ爪/ネイルチップ
3	4	472	ネイル用品
3	4	473	デコパーツ
3	4	115	ネイルケア
3	4	116	その他
3	5	117	香水(女性用)
3	5	421	香水(男性用)
3	5	422	ユニセックス
3	5	423	その他
3	6	475	シャンプー
3	6	476	コンディショナー/リンス
3	6	477	トリートメント
3	6	118	ヘアケア
3	6	478	オイル/美容液
3	6	479	ヘアパック/ヘアマスク
3	6	480	スカルプケア
3	6	481	カラーリング剤
3	6	482	白髪染め
3	6	483	ブリーチ剤
3	6	484	パーマ剤
3	6	485	ヘアウォーター/ヘアミスト
3	6	486	ヘアスプレー
3	6	487	ヘアワックス/ヘアクリーム
3	6	488	ヘアムース/ヘアジェル
3	6	489	ヘアブラシ
3	6	490	ヘアカーラー/グッズ
3	6	491	その他
3	7	493	石けん/ボディソープ
3	7	494	ボディローション/ミルク
3	7	495	ボディクリーム
3	7	496	ボディオイル
3	7	497	ボディスクラブ
3	7	498	ハンドクリーム
3	7	499	フットケア
3	7	500	日焼け止め/サンオイル
3	7	501	制汗/デオドラント剤
3	7	502	脱毛/除毛剤
3	7	503	入浴剤/バスソルト
3	7	504	バスグッズ
3	7	119	その他
3	8	506	口臭防止/エチケット用品
3	8	507	歯ブラシ/デンタルフロス
3	8	508	歯磨き粉
3	8	509	マウスウォッシュ/スプレー
3	8	510	その他
3	9	512	アロマオイル
3	9	513	エッセンシャルオイル（精油）
3	9	514	アロマディフューザー
3	9	515	アロマポット/アロマランプ/芳香器
3	9	516	アロマグッズ
3	9	517	お香/香炉
3	9	518	キャンドル
3	9	519	その他
3	10	521	エクササイズ用品
3	10	522	ダイエット食品
3	10	523	その他
3	11	525	その他
4	1	230	Tシャツ/カットソー
4	1	231	ブラウス
4	1	232	ニット
4	1	233	カーディガン
4	1	234	ジャケット/上着
4	1	235	コート
4	1	236	スカート
4	1	237	パンツ/スパッツ
4	1	238	ワンピース
4	1	239	ドレス/フォーマル
4	1	240	下着
4	1	241	パジャマ
4	1	242	水着
4	1	243	甚平/浴衣
4	1	244	和服/着物
4	1	176	その他
4	2	246	Tシャツ/カットソー
4	2	247	ブラウス
4	2	248	ニット
4	2	249	カーディガン
4	2	250	ジャケット/上着
4	2	251	コート
4	2	253	パンツ/スパッツ
4	2	255	ドレス/フォーマル
4	2	256	下着
4	2	257	パジャマ
4	2	258	水着
4	2	259	甚平/浴衣
4	2	260	和服/着物
4	2	175	その他
4	3	131	ロンパース
4	3	132	カバーオール
4	3	290	シャツ/カットソー
4	3	301	Ｔシャツ
4	3	291	タンクトップ/キャミソール
4	3	285	トレーナー
4	3	287	ワンピース
4	3	295	セレモニードレス/スーツ
4	3	286	バスローブ
4	3	288	ジャケット/コート
4	3	299	ニット/セーター
4	3	289	カーディガン/ボレロ
4	3	296	パンツ
4	3	300	スカート
4	3	292	甚平/浴衣
4	3	293	和服/着物
4	3	294	水着
4	3	297	パジャマ
4	3	298	肌着/下着
4	3	302	その他
4	4	262	スニーカー
4	4	263	サンダル
4	4	264	スリッポン
4	4	265	ローファー
4	4	266	長靴/レインシューズ
4	4	267	ブーツ
4	4	268	スクールシューズ/上履き
4	4	269	フォーマルシューズ
4	4	270	アウトドアシューズ
4	4	271	ローラーシューズ
4	4	272	下駄/草履
4	4	273	スリッパ
4	4	177	その他
4	5	275	スニーカー
4	5	276	サンダル
4	5	277	フラットシューズ
4	5	278	スリッポン
4	5	279	ローファー
4	5	280	長靴/レインシューズ
4	5	281	ブーツ
4	5	282	フォーマルシューズ
4	5	283	下駄/草履
4	5	133	その他
4	6	304	通園バッグ
4	6	305	レッスンバッグ
4	6	306	ランチボックス巾着
4	6	307	ランドセル
4	6	308	シューズバッグ
4	6	309	体操着入れ
4	6	310	トートバッグ
4	6	311	リュックサック
4	6	312	ポシェット
4	6	178	その他
4	7	315	帽子
4	7	316	靴下/タイツ
4	7	317	マフラー/ストール
4	7	318	ベルト
4	7	319	手袋
4	7	320	サングラス
4	7	321	傘
4	7	322	レインコート
4	7	323	財布
4	7	324	定期入れ
4	7	325	腕時計
4	7	326	ベビースタイ/よだれかけ
4	7	327	レッグウォーマー
4	7	328	おくるみ/ブランケット
4	7	179	その他
4	8	330	自転車
4	8	331	三輪車
4	8	135	ベビーカー/バギー
4	8	338	ベビーカー用レインカバー
4	8	339	ベビーカー用アクセサリー
4	8	332	抱っこひも/おんぶひも
4	8	336	簡易バギー
4	8	333	スリング
4	8	334	ベビーホルダー
4	8	335	キャリーバスケット
4	8	337	歩行器
4	8	340	自転車用チャイルドシート本体
4	8	341	自動車用チャイルドシートカバー
4	8	342	自動車用チャイルドシートクッション
4	8	343	その他
4	9	345	ベビー布団
4	9	346	シーツ/カバー
4	9	347	タオルケット
4	9	348	毛布
4	9	349	敷パッド
4	9	350	枕
4	9	351	ベビーベッド
4	9	352	収納/チェスト
4	9	353	フロアマット
4	9	354	ベビーフェンス/ゲート
4	9	355	ベビーサークル
4	9	356	ドアロック
4	9	357	コーナーガード
4	9	358	その他
4	10	360	哺乳ビン
4	10	361	哺乳ビン用乳首
4	10	362	離乳食器セット
4	10	363	離乳食調理器具
4	10	364	プレート/茶碗
4	10	365	スプーン/フォーク
4	10	366	マグカップ
4	10	367	ジュースボトル
4	10	368	お食事エプロン
4	10	369	その他
4	11	371	ベビー紙おむつ
4	11	372	布おむつ
4	11	373	ベビーおむつカバー
4	11	374	ベビーおしりふき
4	11	375	ベビーおむつバッグ
4	11	376	おむつ替えマット
4	11	377	紙おむつ用ゴミ箱
4	11	378	トレーニングパンツ
4	11	379	ベビーおまる
4	11	380	補助便座
4	11	381	その他
4	12	383	哺乳ビン用消毒/衛生ケース
4	12	384	哺乳ビン用ブラシ
4	12	385	食器/哺乳ビン用洗剤
4	12	386	おむつ/肌着用洗剤
4	12	387	ベビーローション
4	12	388	歯ブラシ/歯みがき用品
4	12	389	綿棒
4	12	390	散髪バサミ
4	12	391	爪切り
4	12	392	鼻水とり
4	12	393	ベビースケール
4	12	394	母乳パッド
4	12	395	その他
4	13	397	へその緒入れ
4	13	398	命名紙
4	13	399	お宮参り用品
4	13	400	お食い初め用品
4	13	401	手形/足形
4	13	402	胎毛筆
4	13	403	アルバム
4	13	404	フォトフレーム
4	13	405	その他
4	14	407	お風呂のおもちゃ
4	14	408	知育玩具
4	14	409	オルゴールメリー/モービル
4	14	410	がらがら/ラトル
4	14	411	ぬいぐるみ/人形
4	14	412	ベビージム
4	14	413	ボール
4	14	414	積み木/ブロック
4	14	415	電車のおもちゃ/車
4	14	416	楽器のおもちゃ
4	14	417	手押し車/カタカタ
4	14	418	その他
4	15	215	マタニティ下着
4	15	216	マタニティトップス
4	15	217	マタニティアウター
4	15	218	マタニティボトムス
4	15	219	マタニティルームウェア
4	15	220	マタニティタイツ/レギンス
4	15	221	マタニティワンピース
4	15	222	マタニティパジャマ
4	15	223	マタニティ水着
4	15	129	マタニティウェア
4	15	224	母子手帳ケース
4	15	225	マザーズバッグ
4	15	226	妊娠線ケアクリーム
4	15	130	その他
4	16	134	その他
5	1	722	全巻セット
5	1	723	少年漫画
5	1	724	少女漫画
5	1	725	青年漫画
5	1	726	女性漫画
5	1	727	BL
5	1	728	4コマ漫画
5	1	729	アメコミ/海外作品
5	1	730	イラスト集/原画集
5	1	731	漫画雑誌
5	1	732	その他
5	2	734	文学/小説
5	2	735	人文/社会
5	2	736	ノンフィクション/教養
5	2	737	地図/旅行ガイド
5	2	738	ビジネス/経済
5	2	739	健康/医学
5	2	740	コンピュータ/IT
5	2	741	趣味/スポーツ/実用
5	2	742	住まい/暮らし/子育て
5	2	743	アート/エンタメ
5	2	744	洋書
5	2	745	その他
5	3	747	アート/エンタメ/ホビー
5	3	748	ファッション
5	3	749	ニュース/総合
5	3	750	趣味/スポーツ
5	3	751	その他
5	4	753	外国映画
5	4	754	日本映画
5	4	755	アニメ
5	4	756	TVドラマ
5	4	757	ミュージック
5	4	758	お笑い/バラエティ
5	4	759	スポーツ/フィットネス
5	4	760	キッズ/ファミリー
5	4	761	その他
5	5	763	ポップス/ロック(邦楽)
5	5	764	ポップス/ロック(洋楽)
5	5	765	アニメ
5	5	766	クラシック
5	5	767	K-POP/アジア
5	5	768	キッズ/ファミリー
5	5	769	ボーカロイド
5	5	770	ジャズ
5	5	771	ワールドミュージック
5	5	772	ゲーム音楽
5	5	773	映画音楽
5	5	774	テレビドラマサントラ
5	5	775	クラブ/ダンス
5	5	776	R&amp;B/ソウル
5	5	777	ヒップホップ/ラップ
5	5	778	ヒーリング/ニューエイジ
5	5	779	ブルース
5	5	780	演歌
5	5	781	演芸/落語
5	5	782	宗教音楽
5	5	783	朗読
5	5	784	CDブック
5	5	785	その他
5	6	787	家庭用ゲーム本体
5	6	788	家庭用ゲームソフト
5	6	789	携帯用ゲーム本体
5	6	790	携帯用ゲームソフト
5	6	791	PCゲームソフト
5	6	792	その他
5	7	172	アイドルグッズ
5	7	794	ミュージシャン
5	7	795	お笑い芸人
5	7	796	男性タレント
5	7	797	女性タレント
5	7	798	スポーツ選手
5	7	799	その他
5	8	814	特撮
5	8	815	アニメ/ゲーム
5	8	816	SF/ファンタジー/ホラー
5	8	817	アメコミ
5	8	818	スポーツ
5	8	819	ミリタリー
5	8	1312	ゲームキャラクター
5	8	820	その他
5	9	822	Box/デッキ/パック
5	9	823	シングルカード
5	9	824	カードサプライ/アクセサリ
5	9	1313	遊戯王
5	9	1314	マジック：ザ・ギャザリング
5	9	1315	ポケモンカードゲーム
5	9	1316	デュエルマスターズ
5	9	1317	アイカツ!
5	9	1318	カードファイト!!ヴァンガード
5	9	1319	ヴァイスシュヴァルツ
5	9	1320	ベースボールヒーローズ
5	9	1321	ドラゴンボール
5	9	1322	仮面ライダーバトルガンバライド
